Signature_name	Gene_list
PDAC.Chiji.TumorClassical	ACHE,ADAM28,ADAP1,AGR3,AHCYL2,AKR1B10,AKR7A3,ANG,ANKRD22,ANXA10,ANXA13,APOBEC1,ATP10B,BAIAP2L2,BCL2L14,BCL2L15,BTNL8,C4BPB,CAPN5,CAPN9,CCL15,CDH17,CDHR2,CDHR5,CES2,CGN,CKMT1A,CKMT1B,CLRN3,CREB3L1,CYP2C18,CYP2S1,CYP3A5,CYP4F12,DMBT1,DUOXA2,EFNA2,ELF3,ENTPD8,ERBB3,ERN2,F5,FABP1,FAM177B,FAM3D,FOXA3,FUT3,GALNT12,GALNT6,GPR160,GPR35,GPX2,GSDMB,HHLA2,HMGCS2,HNF4A,HSD11B2,IHH,INPP1,KALRN,KCNE3,LGALS4,LIMA1,MECOM,MSMB,MUC17,MYO1A,MYO7B,ONECUT3,OSBPL7,PDZD3,PHGR1,PIP5K1B,PLA2G10,POF1B,PPP1R14D,PRAP1,PRR15,PRR15L,RAPGEFL1,REG4,RNF128,SHH,SLC22A18,SLC37A1,SLC40A1,SLC45A3,SLC9A1,SMPD3,SPINK4,SPINK5,SPIRE2,ST6GALNAC1,SULT1C2,TJP3,TM4SF20,TM4SF5,TMPRSS2,TOX3,TRIM15,TRIM31,TRNP1,TSPAN3,TSPAN8,USH1C,VIL1,VNN1,VSIG1
PDAC.Chiji.TumorBasal	AHNAK2,AMIGO2,ANGPTL4,ANO1,AP1S3,AREG,ARHGAP23,BCAR3,CDA,CDH3,COL7A1,COX6B2,CRABP2,CRCT1,CST6,DKK1,DSG3,EPHA2,EREG,FAM83A,FGFBP1,FLNB,FOSL1,FOXL1,FSCN1,GATA3,GJB3,GJB4,GJB5,GNA15,GPR87,HMGA1,HMGA2,IGFBP6,IL20RB,ISG15,ITGA3,ITGB6,KCNN4,KLHDC7B,KLK6,KLK7,KLK8,KRT13,KRT15,KRT16,KRT17,KRT6A,KRT6B,KRT7,LAMC2,LEMD1,LRRC8A,LY6D,LYPD2,LYPD3,MBOAT2,MELTF,MET,MMP28,MUC16,P2RY2,PADI1,PHACTR3,PKP1,PLAAT3,PLAAT4,PLEKHN1,PLXNA1,PPL,PSCA,PTGES,PTPRU,RHOD,RHOF,S100A2,S100A4,SCEL,SEMA7A,SERPINB3,SERPINB5,SLC16A3,SLC2A1,SNCG,SPRR1B,SPRR3,SULT2B1,SYT8,TBC1D2,TFAP2A,TGM2,TINAGL1,TNNI2,TNNT1,TNS4,TTC9,TUBA4A,UPK3B,VSTM2L,WFDC3,WNT10A,WNT7A,WNT7B,XDH
PDAC.P19.Acinar	AMY2A,AMY2B,CEL,CELA2A,CELA2B,CELA3A,CELA3B,CLPS,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,CTRL,CUZD1,GATM,GP2,GSTA1,KLK1,LGALS2,MT1G,OLFM4,PDIA2,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS3,RBP1,REG1A,REG1B,REG3A,REG3G,SPINK1,SYCN
PDAC.P19.Bcell	BANK1,CD19,CD37,CD52,CD53,CD74,CD79A,CD79B,CORO1A,CXCR4,FCRLA,HIST1H4C,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF8,LAPTM5,LIMD2,LTB,MS4A1,NCF1,PTPRCAP,RAC2,RPL21,SMIM14,TCL1A,UCP2,VPREB3
PDAC.P19.Ductal_1	AKAP7,AMBP,ANXA4,ATP1A1,ATP1B1,BEX1,CFTR,CITED4,CLDN10,CLU,DEFB1,FXYD2,GATM,GMNN,KCNJ15,KIF12,LEFTY1,MMP7,MT1F,PEBP1,PPP1R1B,RBP1,REG1A,SCTR,SERPINA5,SERPING1,SFRP5,SH3YL1,SLC3A1,SLC4A4,SORBS2,SPP1
PDAC.P19.Ductal_2	AGR2,AGR3,ATP1B1,C15ORF48,C19ORF33,CEACAM5,CEACAM6,CLDN18,CLDN4,CLDN7,CTSE,CXCL5,CYP3A5,CYSTM1,ELF3,EPCAM,FXYD3,GPRC5A,GPX2,IFI27,KLF5,KRT18,KRT19,KRT7,KRT8,LCN2,LGALS3,LGALS4,LINC01133,LIPH,LSR,MAL2,MMP7,MSLN,MUC1,MUCL3,NQO1,OCIAD2,OLFM4,PDZK1IP1,PERP,PGC,PHGR1,PI3,PIGR,RAB11FIP1,REG4,S100A10,S100A14,S100A6,S100P,SERPINA1,SFN,SFTA2,SLPI,SMIM22,SPINK1,SPINT2,TACSTD2,TFF1,TFF2,TFF3,TM4SF4,TMC5,TSPAN1,TSPAN8,WFDC2
PDAC.P19.Endocrine	BEX1,CHGA,CHGB,CPE,DLK1,ERO1B,GAD2,GCG,GNAS,HBB,IAPP,INS,JCHAIN,MEG3,MIR7-3HG,MZB1,NEUROD1,NKX2-2,PCSK1N,PPY,RBP4,SCG3,SCG5,SCGN,SEC11C,SHISAL2B,SLC30A8,SSR4,SST,TTR
PDAC.P19.Endothelial	A2M,ACKR1,ADAM15,ADAMTS9,ADCY4,ADGRL4,APOLD1,AQP1,ARHGAP29,BCAM,CALCRL,CAV1,CAVIN2,CD320,CD34,CD93,CDH5,CLDN5,CLEC14A,COL15A1,COL4A1,CRIP2,CYYR1,ECSCR,EGFL7,EHD4,EMCN,EMP1,ENG,EPAS1,ESAM,ETS1,ETS2,F2RL3,FABP4,FABP5,FAM107A,FAM167B,FKBP1A,FLT1,GASK1B,GIMAP4,GIMAP7,GNG11,GSN,HEG1,HSPG2,HYAL2,ICAM2,ID1,IFITM1,IGFBP4,INSR,JAM2,KLF2,LDB2,LIFR,MMRN2,MTUS1,NEDD9,NFIB,NOTCH4,NPDC1,PALMD,PCDH17,PDLIM1,PIK3R3,PLPP1,PLPP3,PLVAP,PODXL,PRCP,PTPRB,RAMP2,RAMP3,RBP7,RDX,RGCC,RNASE1,S1PR1,SEC14L1,SLC2A3,SLC9A3R2,SLCO2A1,SOCS3,SOX17,SOX18,SPARCL1,SPRY1,STC1,STOM,SWAP70,TCF4,TGFBR2,THSD7A,TIE1,TM4SF1,TMEM88,VWA1,VWF
PDAC.P19.Fibroblast	AEBP1,ANTXR1,APOD,ASPN,BGN,C1QTNF3,C1R,C1S,C3,C7,CALD1,CCDC80,CCN1,CCN2,CDH11,CFD,CLEC11A,COL10A1,COL11A1,COL12A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL8A1,COMP,CST1,CTHRC1,CTSK,CXCL14,CYP1B1,DCN,EFEMP1,EMILIN1,FBLN1,FBN1,FN1,FSTL1,GJB2,HOPX,HTRA1,HTRA3,IGFBP3,IGFBP5,IGFBP6,INHBA,ISLR,LGALS1,LUM,MATN3,MEG3,MFAP2,MFAP4,MFAP5,MGP,MMP11,MMP14,MMP2,MXRA8,NBL1,NNMT,PALLD,PCOLCE,POSTN,PRELP,PTGDS,RARRES1,RARRES2,SERPINE1,SERPINF1,SERPINH1,SFRP2,SFRP4,SPARC,SPON2,SULF1,THBS1,THBS2,THY1,TIMP1,TIMP3,VCAN
PDAC.P19.Macrophage	ACP5,AIF1,ALOX5AP,APOC1,APOE,BCL2A1,C1ORF162,C1QA,C1QB,C1QC,CAPG,CCL2,CCL3,CD14,CD163,CD68,CD74,COTL1,CPVL,CSTA,CTSB,CTSD,CTSL,CTSS,CXCL8,CYBA,CYBB,FCER1G,FCGR2A,FCGR3A,FCN1,FTH1,FTL,GLUL,GPNMB,GPR183,GRN,HCST,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,IFI30,IGSF6,ITGB2,LAPTM5,LIPA,LSP1,LST1,LYZ,MAFB,MARCO,MNDA,MS4A4A,MS4A6A,MS4A7,NPC2,OLR1,PLAUR,PLIN2,PSAP,RETN,RGS1,RGS10,RGS2,RNASE6,S100A8,S100A9,SAT1,SLC11A1,SPI1,SPP1,SRGN,TREM2,TYMP,TYROBP,VSIG4
