Signature_name	Gene_list
U.Tumor.MC38_Liver_met.ECM	ANXA1,ANXA2,EMILIN2,FBLN2,ITIH2,LGALS3,LGALS7,S100A11,S100A4,S100A6,SPARC,THBS3,VCAN
U.Tumor.MC38_others.post-aPD1_persistors	BMP1,COL12A1,COL16A1,COL1A1,COL3A1,COL5A1,COL5A2,COL5A3,COL6A2,COL6A3,COL7A1,CRLF1,DAB2,DCN,DPYSL3,ECM1,EFEMP2,FAS,FBLN2,FBN1,FN1,FSTL1,GAS1,GEM,GJA1,GPC1,HTRA1,IGFBP4,INHBA,ITGA5,LAMA3,LOXL1,LOXL2,LRP1,MATN2,MMP14,MMP2,NOTCH2,PCOLCE,PLOD1,PLOD2,PLOD3,PMP22,QSOX1,RHOB,SDC1,SDC4,SERPINE2,SGCD,SLIT2,SPARC,TGFBR3,THBS1,TIMP1,TNC,TNFAIP3,VCAN,VEGFA
U.Tumor.MC38_others.post-aPD1_persistors_with_high_E-M_signatures	LY6A,SNAI1
U.Tumor.MC38	RHOX5,SHISAL2B,SNHG9
U.Tumor.Melanoma.aggressive	AGER,BIRC7,CAPN3,DCT,EDNRB,FAM167B,FMN1,GPM6B,GYPC,HILS1,IGSF11,MBP,MFN2,MITF,MLANA,PARVB,PAX3,PMEL,RAB38,RENBP,ROPN1,TFAP2A,TRIM63,TSPAN10,TYR
U.Tumor.Melanoma.full	AGER,ALX1,AP1S2,BCHE,BIRC7,CAPN3,CDH19,DAAM2,DCT,DLX2,EDNRB,EMP3,EXTL1,FAM167B,FCRLA,FMN1,FXYD5,GAS7,GPM6B,GYPC,HILS1,IGSF11,LEF1,LY6E,MBP,MFN2,MFSD12,MIA,MITF,MLANA,NLGN1,PARVB,PAX3,PLP1,PMEL,PRAME,PTPRZ1,RAB38,RENBP,ROPN1,RXRG,S100A1,S100B,SHC4,SOX10,SRPX,TFAP2A,TRIM63,TSPAN10,TYR,TYRP1
K18.Bcell	CD19,CD79A,PTPRC
K18.CT26	BAIAP2L1,RPL39L
K18.EMT6	CRABP2,RBP1
K18.LL2	KRT18,RPL29
K18.NK	KLRB1B,NCR1
K18.pDC	KLK1,SIGLECH
K18.RBC	HBA-A1,HBA-A2
R15.B16	BCHE,BIRC7,CAPN3,DAAM2,DCT,EDNRB,FCRLA,FXYD5,GYPC,LEF1,MIA,MITF,MLANA,MOK,NLGN1,PARVB,PAX3,PLP1,PMEL,PRAME,PTPRZ1,RAB38,S100B,SHC4,SOX10,TFAP2A,TYR,TYRP1
S20_6.MC38.postIO_intersect_EMTHallmark	BMP1,COL12A1,COL16A1,COL1A1,COL3A1,COL5A1,COL5A2,COL5A3,COL6A2,COL6A3,COL7A1,CRLF1,DAB2,DCN,DPYSL3,ECM1,EFEMP2,FAS,FBLN2,FBN1,FN1,FSTL1,GAS1,GEM,GJA1,GPC1,HTRA1,IGFBP4,INHBA,ITGA5,LAMA3,LOXL1,LOXL2,LRP1,MATN2,MMP14,MMP2,NOTCH2,PCOLCE,PLOD1,PLOD2,PLOD3,PMP22,QSOX1,RHOB,SDC1,SDC4,SERPINE2,SGCD,SLIT2,SPARC,TGFBR3,THBS1,TIMP1,TNC,TNFAIP3,VCAN,VEGFA
S20_7.MC38.HighEMT_cells	ATOX1,BRINP3,CASTOR1,COL3A1,COL6A1,COL6A2,COL6A3,DCN,EVA1B,FSTL1,IFITM1,IFITM2,IGFBP4,IL11,LOXL2,LY6A,MMP14,MMP2,PDE4B,PDE4D,S100A11,SDC1,SLPI,SNAI1,SOCS3
