Signature_name	Gene_list
scLung_B_cell_2	RP11-862L9.3,SHISA8,RP11-527D7.1,RP11-403N16.3,GUCY2C,RP11-428G5.5,RP11-407H12.8,FCRL1,BLK,RP11-876N24.2,PAX5,TNFRSF13B,CR2,AL928768.3,VPREB3,TNFRSF13C,ZNF860,BANK1,TLR10,ARL14,KCNIP2,RP11-588H23.3,PLEKHG7,P2RX5-TAX1BP3,CHRNA1,RP3-455J7.4,ADAM28,MED12L,AC002306.1,PRCD,P2RX5,OSBPL10-AS1,AIM2,CCR6,GRAMD1C,SYT1,TEX9,SPINK2,LPAR5,TMEM156,TMEM154,LY86,BCAS4,TFEB,SMIM14,PLEKHF2,EEF1B2
scLung_B_cell_3	IGKV1-6,IGLV3-21,IGLV3-25,IGKV3-15
scLung_B_cell_4	XXBAC-BPG13B8.10,RP11-501J20.5,MS4A3,CMA1,RD3,ADCYAP1,AC004791.2,GCSAML,MS4A2,CADPS,AMHR2,CDK15,CTSG,GATA1,HDC,SLC18A2,CPA3,PRG2,TPSD1,RP11-354E11.2,SIGLEC6,AQP10,SVOPL,RGS13,KCNH2,RP11-542K23.7,ENPP3,NTRK1,C1ORF186,KIT,KRT1,RP11-557H15.4,SLC45A3,SIGLEC8,HPGDS,CALB2,TPSG1,ATP1A4,ITGA2B,GFI1B,UTS2,GATA2,PNMT,PTGS1,MAOB,TMEM233,VWA5A,IL5RA,LTC4S,IL17RB,PIK3R6,STAP1,TCTEX1D1,KIAA1549,TESPA1,C5ORF30,GRAP2,CATSPER1,LINC00672,SMIM1,SLC24A3,FAM212A,GPR35,CNRIP1,FAIM2,RAB37,TTI1,SLC26A2,C1ORF228,RAB27B,SCIN,BTK,GALC,SMYD3,SAMSN1,DUSP10,NSMCE1,SOCS1,CTNNBL1,RGS2,EIF4A2,CIRBP
scLung_B_cell_5	IGLV4-69,IGLC6,IGHV1-24,IGHV6-1,IGHV4-31,IGLV1-51,IGHV3-7
scLung_B_cell_6	RP11-197N18.7,MIXL1,AKR1D1,RP11-1084E5.1,AP001058.3,IGHV4-4,IGKV1-8,IGKV3D-11,IGKV2-30,IGHV1-3,AF127936.3,AMPD1,LINC00582,IGHGP,IGHV4-34,IGHG2,IGLV3-1,IGHV1-69,CCL25,IGLV3-9,RP11-16E12.2,TAS1R3,IGKV1-12,FCRL5,JSRP1,IGLV6-57,IGKV4-1,IGKV3-11,RP11-1070N10.3,IGKV1-5,ZNF215,AC007386.4,IFNG-AS1,FAM92B,IGHG3,RP11-275I4.2,IGHV5-51,AC093818.1,IGHG4,BFSP2,SPAG4,CEP128,E2F5,PDK1,CD38,PAIP2B,XBP1,HSPA13,IFNAR2,DERL1,RPN2
scLung_B_cell_7	ENAM,RP11-689B22.2,RP11-204L24.2,SAMD7,AC007386.2,IGHV3-20,IGLV1-44,IGLL1,IGHV3-74,TNFRSF17,RP11-290F5.1,IGKV1D-16,IGLL5,C2ORF88,RP11-492E3.2,IGLC5,NUGGC,IGLC7,AC026202.3,ABCB9,DERL3,KB-1980E6.3,AC104699.1,POU2AF1,PKHD1L1,KIAA0125,AC078883.3,BRSK1,RASSF6,MEI1,RAB30,CPNE5,ZBP1,SLC17A9,FAM46C,PIM2,SLAMF7,EAF2,IGHA1,MANEA,SEC11C,TXNDC11,SPATS2,TXNDC15,UBE2J1,DNAJB9,CREB3L2,SDF2L1,ARSA,SEL1L,LMAN1,CRELD2,GMPPB,SPCS3,MANF,ERLEC1,ALG5,FKBP2,PDIA4,SSR3,SPCS2,HM13,DNAJC3
scLung_B_cell_8	RP11-73G16.2,SHD,CLEC4C,LILRA4,PACSIN1,SMPD3,TCL1A,LRRC26,SCT,RP11-117D22.2,FAM129C,ASIP,PROC,SLC12A3,VASH2,PLD4,PTCRA,LINC00996,MAP1A,FUT7,SPIB,LAMP5,TLR7,ZFAT,IRF4,SMIM5,BCL11A,GLT1D1,NEK8,AC104024.1,XXYLT1-AS2,SIDT1,PNOC,NME8,WNT10A,CXCR3,TMIGD2,BLNK,MYCL,P2RY14,KIAA0226L,UPK3A,SLC15A4,CARD11,P2RX1,IL3RA,SEMA7A,GAPT,MPEG1,ABHD15,AC109826.1,IRF8,CYB561A3,CSF2RB,CXORF21,SUSD1,IRF7,CCR2,PPP1R14B,CLIC3,P2RY6,CHAF1A,CLN8,SELL,RP11-214O1.3,PRKCB,IGFLR1,GNG7,LDLRAD4,RP13-516M14.4,RASD1,MCM3AP-AS1,IDH3A,RUNX2,REPIN1,ERN1,PLEK,CXXC5,GRASP,C12ORF75,SLC7A5,INPP4A,CCDC50,UNC93B1,CYFIP2,RP11-356I2.4,CYSLTR1,PPM1K,DCK,CD4,OFD1,PHACTR1,HSH2D,A1BG,C9ORF142,OGT,BCL2L11,ERCC1,UCP2,IL16,BTG2,ZBED4,SEC61B,VIMP,DHRS7,SPCS1,NUCB2,ERP29,YPEL5,CD164,GGNBP2,ANXA11,DDX17,SF3B1
scLung_B_cell_9	HBM,ALAS2,HBD,AHSP,HEMGN,HBA1,SNCA,STRADB,DCAF12,SLC25A37,SLC25A39,FBXO7,FKBP8
scLung_EC	RP11-458D21.1,CTD-3010D24.3,AC009502.4,EN2,RP11-470P21.2,NKX1-2,ALS2CR11,AC007009.1,DRGX,LINC00973,CAMK2N2,DMBX1,ANKRD34B,VIL1,AC005256.1,MPV17L,PPP1R14D,SLC1A7,RTN4RL2,CDIPT-AS1,VSIG1,ESPN,ETV4,RP11-483L5.1,RP11-473M20.16,METTL7B,FAM83A,DGCR5,CNFN,NKX2-1-AS1,AC073283.4,TLCD1,REEP6,TMEM79,RP11-539L10.3,FCHO1,ELMO3,WNT7B,NOL3,TOM1L1,CCND1,ACAD8,CLDND2,ELP5,QPRT,BOLA1,GPR89B,MAD2L1BP,MPST,H2AFJ,MRPL51,NEDD8
scLung_EC_1	RP11-676J12.6,BTNL3,SLC6A4,LIPG,NXF3,CSF3,C2CD4B,STC2,SOX7,ADRB1,CD300LG,GPIHBP1,LRRC32,RAPGEF4,FAM107A,BTNL9,LINC01082,TEK,HIF1A-AS2,SOX17,RXFP1,SORBS1,S1PR1,PODXL,MT1A,HSPB8,AKAP12,F8,SLCO2A1,CALCRL,EDN1,PRKCE,CD109,LEPR,C10ORF10,HIF3A,SSH1,ASRGL1,EPAS1,HES1,RCAN1,TGM2,IL4R,MESDC1,LIMK2,BAG3,ADM,TMEM2,HILPDA,BMPR2,DLC1,STARD4,CD36,PNP,PDE4B,OSMR,ARRDC3,ARID5A,WARS,GADD45G,DUSP6,STOM,TNFAIP3,PON2,YBX3,CEBPD,BIRC3,CFDP1,SERPINB1,HLA-F,RBMS1
